City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Matadi,CD,2023-01-10 21:38:41,-5.8167,13.45,74.86,92,60,2.77
271,Shunyi,CN,2023-01-10 21:38:41,40.125,116.6453,17.55,79,0,0.0
272,Sabang,ID,2023-01-10 21:38:42,5.8933,95.3214,78.67,70,25,3.87
273,Bathsheba,BB,2023-01-10 21:38:42,13.2167,-59.5167,79.41,78,75,13.8
274,Aykhal,RU,2023-01-10 21:38:42,66.0,111.5,-41.01,97,100,5.3
275,Praia,CV,2023-01-10 21:38:42,14.9215,-23.5087,73.94,78,20,21.85
276,Haines Junction,CA,2023-01-10 21:39:43,60.7522,-137.5108,7.68,97,100,0.65
277,Farap,TM,2023-01-10 21:39:43,39.1704,63.6116,10.4,79,47,11.5
278,Zambrow,PL,2023-01-10 21:39:44,52.9855,22.2432,37.65,95,93,0.58
279,Beachwood,US,2023-01-10 21:37:37,41.4645,-81.5087,41.23,80,100,8.05
280,Seddon,AU,2023-01-10 21:39:44,-37.8068,144.8916,70.86,81,20,6.91
281,Puerto Escondido,MX,2023-01-10 21:39:44,15.85,-97.0667,85.03,65,0,3.44
282,Chulym,RU,2023-01-10 21:39:45,55.0997,80.9572,-29.7,100,98,6.69
283,Grindavik,IS,2023-01-10 21:39:45,63.8424,-22.4338,39.15,80,100,11.5
284,Samaca,CO,2023-01-10 21:39:45,5.4927,-73.4854,56.03,89,99,2.08
285,Juneau,US,2023-01-10 21:39:10,58.3019,-134.4197,33.22,94,40,0.0
286,Voyvozh,RU,2023-01-10 21:39:45,62.892,54.9635,-6.39,82,77,9.64
287,Faya,SA,2023-01-10 21:39:46,18.3851,42.4509,51.91,79,0,3.62
288,Visby,SE,2023-01-10 21:39:46,57.6409,18.296,41.22,87,100,8.05
289,Leh,IN,2023-01-10 21:39:46,34.1667,77.5833,17.6,64,100,5.75
290,Periyapatti,IN,2023-01-10 21:39:47,10.75,77.2667,67.21,81,10,4.36
291,Agadez,NE,2023-01-10 21:39:47,19.75,10.25,57.94,23,100,7.63
292,Lompoc,US,2023-01-10 21:39:47,34.6391,-120.4579,61.02,74,40,12.66
293,Lisala,CD,2023-01-10 21:39:48,2.15,21.5167,73.58,44,48,1.77
